Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
Showdown in Little Tokyo,1991,Mark L. Lester,79,8000000,2275557,102,45,12561,6,1.76,14080000,4004980.32
Slacker,1991,Richard Linklater,100,23000,1227508,80,61,15103,7.1,1.76,40480,2160414.08
Star Trek VI: The Undiscovered Country,1991,Nicholas Meyer,110,30000000,74888996,188,112,55513,7.2,1.76,52800000,131804633
Stone Cold,1991,Craig R. Baxley,88,17000000,9286314,62,27,4972,5.9,1.76,29920000,16343912.64
Straight Out of Brooklyn,1991,Matty Rich,91,450000,2712293,11,8,475,5.9,1.76,792000,4773635.68
Teenage Mutant Ninja Turtles II: The Secret of the Ooze,1991,Michael Pressman,88,25000000,78656813,93,68,42765,6,1.76,44000000,138435990.9
Terminator 2: Judgment Day,1991,James Cameron,153,102000000,204843350,983,210,744891,8.5,1.76,179520000,360524296
The Addams Family,1991,Barry Sonnenfeld,99,38000000,113502246,125,55,96607,6.8,1.76,66880000,199763953
The Doors,1991,Oliver Stone,140,38000000,35183792,209,82,68159,7.2,1.76,66880000,61923473.92
The Fisher King,1991,Terry Gilliam,137,24000000,41895491,170,84,63274,7.6,1.76,42240000,73736064.16
The Naked Gun 2½: The Smell of Fear,1991,David Zucker,85,23000000,86930411,87,43,83269,6.8,1.76,40480000,152997523.4
The Prince of Tides,1991,Barbra Streisand,132,30000000,74787599,109,30,12549,6.6,1.76,52800000,131626174.2
The Silence of the Lambs,1991,Jonathan Demme,138,19000000,130727000,916,185,887467,8.6,1.76,33440000,230079520
White Fang,1991,Randal Kleiser,107,14000000,34793160,31,10,15730,6.7,1.76,24640000,61235961.6
A Few Good Men,1992,Rob Reiner,138,40000000,141340178,319,81,181879,7.6,1.71,68400000,241691704.4
A League of Their Own,1992,Penny Marshall,128,40000000,107458785,166,41,71754,7.2,1.71,68400000,183754522.4
Aladdin,1992,Ron Clements,90,28000000,217350219,244,124,260939,8,1.71,47880000,371668874.5
Alien 3,1992,David Fincher,145,50000000,55473600,776,210,207686,6.4,1.71,85500000,94859856
Army of Darkness,1992,Sam Raimi,88,13000000,11501093,604,221,128850,7.6,1.71,22230000,19666869.03
Batman Returns,1992,Tim Burton,126,80000000,162831698,610,153,215255,7,1.71,136800000,278442203.6
Boomerang,1992,Reginald Hudlin,117,40000000,70100000,41,21,20183,5.4,1.71,68400000,119871000
Bram Stoker's Dracula,1992,Francis Ford Coppola,155,40000000,82522790,654,181,143835,7.5,1.71,68400000,141113970.9
Death Becomes Her,1992,Robert Zemeckis,104,55000000,58422650,173,49,78974,6.4,1.71,94050000,99902731.5
El Mariachi,1992,Robert Rodriguez,81,7000,2040920,130,56,52055,6.9,1.71,11970,3489973.2
Glengarry Glen Ross,1992,James Foley,100,12500000,10725228,365,120,75675,7.8,1.71,21375000,18340139.88
Hoffa,1992,Danny DeVito,140,35000000,24276500,68,32,17124,6.6,1.71,59850000,41512815
Home Alone 2: Lost in New York,1992,Chris Columbus,120,18000000,173585516,189,37,200077,6.6,1.71,30780000,296831232.4
