Movie,ReleaseYear,Director,Duration,Budget,Gross,UserReviews,CriticReviews,IMDBVotes,IMDBScore,InflationTo2016,BudgetInf,GrossInf
American Psycho,2000,Mary Harron,102,7000000,15047419,1061,288,357275,7.6,1.39,9730000,20915912.41
An Everlasting Piece,2000,Barry Levinson,103,14000000,75078,26,34,1398,6.3,1.39,19460000,104358.42
Autumn in New York,2000,Joan Chen,103,40000000,37752931,180,101,20201,5.5,1.39,55600000,52476574.09
Bamboozled,2000,Spike Lee,135,10000000,2185266,186,57,8720,6.5,1.39,13900000,3037519.74
Battlefield Earth,2000,Roger Christian,119,44000000,21471685,1308,174,65464,2.4,1.39,61160000,29845642.15
Bedazzled,2000,Harold Ramis,93,48000000,37879996,254,125,81888,6,1.39,66720000,52653194.44
Best in Show,2000,Christopher Guest,90,6000000,18621249,340,119,45859,7.5,1.39,8340000,25883536.11
Big Momma's House,2000,Raja Gosnell,99,30000000,117559438,148,100,66941,5.1,1.39,41700000,163407618.8
Bless the Child,2000,Chuck Russell,107,40000000,29374178,188,100,12093,5.1,1.39,55600000,40830107.42
Boiler Room,2000,Ben Younger,120,8000000,16938179,246,132,41313,7,1.39,11120000,23544068.81
Book of Shadows: Blair Witch 2,2000,Joe Berlinger,90,15000000,26421314,457,160,28964,4,1.39,20850000,36725626.46
Boys and Girls,2000,Robert Iscove,94,16000000,20627372,134,67,13661,5.3,1.39,22240000,28672047.08
Bring It On,2000,Peyton Reed,98,10000000,68353550,385,139,70141,5.9,1.39,13900000,95011434.5
Brother,2000,Takeshi Kitano,114,10000000,447750,133,81,18520,7.2,1.39,13900000,622372.5
Cast Away,2000,Robert Zemeckis,143,90000000,233630478,1051,221,394317,7.7,1.39,125100000,324746364.4
Center Stage,2000,Nicholas Hytner,115,18000000,17174870,210,68,15817,6.7,1.39,25020000,23873069.3
Charlie's Angels,2000,McG,94,92000000,125305545,643,181,145350,5.5,1.39,127880000,174174707.6
Chuck & Buck,2000,Miguel Arteta,96,250000,1050600,136,59,4662,6.6,1.39,347500,1460334
Coyote Ugly,2000,David McNally,107,45000000,60786269,379,155,90539,5.6,1.39,62550000,84492913.91
Digimon: The Movie,2000,Mamoru Hosoda,82,5000000,9628751,65,29,5164,5.9,1.39,6950000,13383963.89
Dinosaur,2000,Eric Leighton,82,127500000,137748063,241,145,38438,6.5,1.39,177225000,191469807.6
Down to You,2000,Kris Isacsson,91,9000000,20035310,173,64,12324,4.9,1.39,12510000,27849080.9
Dracula 2000,2000,Patrick Lussier,99,28000000,33000377,365,122,27378,4.9,1.39,38920000,45870524.03
Drowning Mona,2000,Nick Gomez,96,16000000,15427192,148,84,11768,5.6,1.39,22240000,21443796.88
"Dude, Where's My Car?",2000,Danny Leiner,83,13000000,46729374,469,106,116625,5.5,1.39,18070000,64953829.86
Duets,2000,Bruce Paltrow,112,15000000,4734235,123,65,8217,6,1.39,20850000,6580586.65
Erin Brockovich,2000,Steven Soderbergh,131,52000000,125548685,498,169,135246,7.3,1.39,72280000,174512672.2
Final Destination,2000,James Wong,98,23000000,53302314,674,211,181058,6.7,1.39,31970000,74090216.46
Finding Forrester,2000,Gus Van Sant,136,43000000,51768623,297,137,73006,7.3,1.39,59770000,71958385.97
Frequency,2000,Gregory Hoblit,118,31000000,44983704,510,168,81866,7.3,1.39,43090000,62527348.56
George Washington,2000,David Gordon Green,90,42000,241816,76,75,6246,7.5,1.39,58380,336124.24
Get Carter,2000,Stephen Kay,102,40000000,14967182,284,102,27305,5.1,1.39,55600000,20804382.98
Gladiator,2000,Ridley Scott,171,103000000,187670866,2368,265,982637,8.5,1.39,143170000,260862503.7
Gone in Sixty Seconds,2000,Dominic Sena,127,90000000,101643008,498,175,218341,6.5,1.39,125100000,141283781.1
Gossip,2000,Davis Guggenheim,90,24000000,5108820,112,63,12519,5.9,1.39,33360000,7101259.8
Groove,2000,Greg Harrison,86,500000,1114943,74,46,3562,6.5,1.39,695000,1549770.77
Gun Shy,2000,Eric Blakeney,101,10000000,1631839,91,49,5936,5.7,1.39,13900000,2268256.21
Here on Earth,2000,Mark Piznarski,96,15000000,10494147,162,44,7403,5.1,1.39,20850000,14586864.33
Highlander: Endgame,2000,Douglas Aarniokoski,101,15000000,12801190,355,90,16340,4.6,1.39,20850000,17793654.1
Hollow Man,2000,Paul Verhoeven,119,95000000,73209340,628,180,101834,5.7,1.39,132050000,101760982.6
How the Grinch Stole Christmas,2000,Ron Howard,110,123000000,260031035,482,175,141414,6,1.39,170970000,361443138.7
I Dreamed of Africa,2000,Hugh Hudson,114,34000000,6543194,61,52,3740,5.6,1.39,47260000,9095039.66
Isn't She Great,2000,Andrew Bergman,95,36000000,2954405,64,63,1977,5.3,1.39,50040000,4106622.95
Keeping the Faith,2000,Edward Norton,128,30000000,37036404,259,148,44816,6.4,1.39,41700000,51480601.56
Little Nicky,2000,Steven Brill,90,80000000,39442871,237,87,80639,5.3,1.39,111200000,54825590.69
Loser,2000,Amy Heckerling,98,20000000,15464026,158,81,23076,5.3,1.39,27800000,21494996.14
Lost Souls,2000,Janusz Kaminski,97,28000000,16779636,167,100,9338,4.8,1.39,38920000,23323694.04
Love & Basketball,2000,Gina Prince-Bythewood,124,15000000,27441122,116,68,14322,7.2,1.39,20850000,38143159.58
Luminarias,2000,José Luis Valenzuela,100,1000000,428535,32,13,505,3.6,1.39,1390000,595663.65
"Me, Myself & Irene",2000,Bobby Farrelly,116,51000000,90567722,481,155,185878,6.5,1.39,70890000,125889133.6
Meet the Parents,2000,Jay Roach,108,55000000,166225040,507,150,260442,7,1.39,76450000,231052805.6
Memento,2000,Christopher Nolan,113,9000000,25530884,2067,274,845580,8.5,1.39,12510000,35487928.76
Men of Honor,2000,George Tillman Jr.,129,32000000,48814909,224,98,89424,7.2,1.39,44480000,67852723.51
Mercy Streets,2000,Jon Gunn,106,600000,171988,16,15,448,5.6,1.39,834000,239063.32
Miss Congeniality,2000,Donald Petrie,109,45000000,106807667,370,140,137377,6.2,1.39,62550000,148462657.1
Mission to Mars,2000,Brian De Palma,114,90000000,60874615,949,181,60467,5.6,1.39,125100000,84615714.85
Mission: Impossible II,2000,John Woo,123,125000000,215397307,1426,237,242188,6.1,1.39,173750000,299402256.7
My Dog Skip,2000,Jay Russell,95,5000000,34099640,149,79,16651,7,1.39,6950000,47398499.6
Next Friday,2000,Steve Carr,98,9500000,57176582,84,55,27492,6.1,1.39,13205000,79475448.98
Nutty Professor II: The Klumps,2000,Peter Segal,109,65000000,123307945,171,94,39391,4.3,1.39,90350000,171398043.6
Pay It Forward,2000,Mimi Leder,123,40000000,33508922,660,157,95860,7.2,1.39,55600000,46577401.58
Pitch Black,2000,David Twohy,112,23000000,39235088,805,214,193962,7.1,1.39,31970000,54536772.32
Pollock,2000,Ed Harris,122,6000000,8596914,148,115,23023,7,1.39,8340000,11949710.46
Proof of Life,2000,Taylor Hackford,135,65000000,32598931,265,134,49300,6.2,1.39,90350000,45312514.09
Ready to Rumble,2000,Brian Robbins,107,24000000,12372410,101,51,11709,5.3,1.39,33360000,17197649.9
Red Planet,2000,Antony Hoffman,106,70000000,17473245,348,145,47612,5.7,1.39,97300000,24287810.55
Reindeer Games,2000,John Frankenheimer,124,34000000,23360779,212,126,31113,5.7,1.39,47260000,32471482.81
Remember the Titans,2000,Boaz Yakin,120,30000000,115648585,402,157,160776,7.8,1.39,41700000,160751533.2
Requiem for a Dream,2000,Darren Aronofsky,102,4500000,3609278,1916,234,573541,8.4,1.39,6255000,5016896.42
Return to Me,2000,Bonnie Hunt,115,24000000,32662299,275,106,16469,6.9,1.39,33360000,45400595.61
Road Trip,2000,Todd Phillips,94,15600000,68525609,302,103,132963,6.5,1.39,21684000,95250596.51
Romeo Must Die,2000,Andrzej Bartkowiak,115,25000000,55973336,365,70,57040,6.1,1.39,34750000,77802937.04
Scream 3,2000,Wes Craven,116,40000000,89138076,734,212,98535,5.5,1.39,55600000,123901925.6
Screwed,2000,Scott Alexander,81,10000000,6982680,69,29,6965,5.7,1.39,13900000,9705925.2
Shanghai Noon,2000,Tom Dey,110,55000000,56932305,293,146,96690,6.6,1.39,76450000,79135903.95
Small Time Crooks,2000,Woody Allen,94,18000000,17071230,192,128,31169,6.7,1.39,25020000,23729009.7
Snow Day,2000,Chris Koch,89,13000000,60008303,91,42,9285,4.9,1.39,18070000,83411541.17
Songcatcher,2000,Maggie Greenwald,109,1800000,3050934,78,39,2794,7.3,1.39,2502000,4240798.26
Space Cowboys,2000,Clint Eastwood,130,65000000,90454043,326,169,60165,6.4,1.39,90350000,125731119.8
Supernova,2000,Walter Hill,91,65000000,14218868,282,100,14596,4.8,1.39,90350000,19764226.52
Tadpole,2000,Gary Winick,78,150000,2882062,101,91,5178,6.3,1.39,208500,4006066.18
The 6th Day,2000,Roger Spottiswoode,123,82000000,34543701,289,170,100001,5.9,1.39,113980000,48015744.39
The Adventures of Rocky & Bullwinkle,2000,Des McAnuff,92,76000000,26000610,197,49,16611,4.1,1.39,105640000,36140847.9
The Art of War,2000,Christian Duguay,116,40000000,30199105,167,110,25346,5.7,1.39,55600000,41976755.95
The Beach,2000,Danny Boyle,119,50000000,39778599,548,118,176169,6.6,1.39,69500000,55292252.61
The Broken Hearts Club: A Romantic Comedy,2000,Greg Berlanti,94,1000000,1744858,120,51,6084,7,1.39,1390000,2425352.62
The Cell,2000,Tarsem Singh,109,33000000,61280963,677,225,79877,6.3,1.39,45870000,85180538.57
The Contender,2000,Rod Lurie,126,20000000,17804273,370,136,20449,7,1.39,27800000,24747939.47
The Crew,2000,Michael Dinner,88,23000000,13019253,47,53,3914,5.6,1.39,31970000,18096761.67
The Emperor's New Groove,2000,Mark Dindal,78,100000000,89296573,297,141,128285,7.3,1.39,139000000,124122236.5
The Family Man,2000,Brett Ratner,125,60000000,75764085,322,121,85844,6.7,1.39,83400000,105312078.2
The Flintstones in Viva Rock Vegas,2000,Brian Levant,90,60000000,35231365,85,57,15517,3.6,1.39,83400000,48971597.35
The In Crowd,2000,Mary Lambert,105,15000000,5217498,85,49,3668,4.6,1.39,20850000,7252322.22
The Kid,2000,Jon Turteltaub,104,60000000,69688384,139,86,34473,6.1,1.39,83400000,96866853.76
The Ladies Man,2000,Reginald Hudlin,84,11000000,13592872,79,58,10777,5.1,1.39,15290000,18894092.08
The Legend of Bagger Vance,2000,Robert Redford,126,60000000,30695227,267,125,45296,6.7,1.39,83400000,42666365.53
The Next Best Thing,2000,John Schlesinger,99,25000000,14983572,162,86,9361,4.7,1.39,34750000,20827165.08
The Original Kings of Comedy,2000,Spike Lee,115,3000000,38168022,83,53,4687,6.6,1.39,4170000,53053550.58
The Patriot,2000,Roland Emmerich,142,110000000,113330342,1144,192,207613,7.1,1.39,152900000,157529175.4
The Perfect Storm,2000,Wolfgang Petersen,130,140000000,182618434,779,231,133076,6.4,1.39,194600000,253839623.3
The Replacements,2000,Howard Deutch,118,50000000,44737059,261,118,48322,6.5,1.39,69500000,62184512.01
The Road to El Dorado,2000,Bibo Bergeron,89,95000000,50802661,139,82,58300,6.9,1.39,132050000,70615698.79
The Skulls,2000,Rob Cohen,106,15000000,35007180,193,102,26846,5.6,1.39,20850000,48659980.2
The Specials,2000,Craig Mazin,82,1000000,12996,54,29,1938,6,1.39,1390000,18064.44
The Tigger Movie,2000,Jun Falkenstein,77,30000000,45542421,53,89,13319,6.3,1.39,41700000,63303965.19
The Watcher,2000,Joe Charbanic,97,33000000,28927720,181,103,22220,5.3,1.39,45870000,40209530.8
The Way of the Gun,2000,Christopher McQuarrie,119,8500000,6047856,327,117,27536,6.7,1.39,11815000,8406519.84
The Whole Nine Yards,2000,Jonathan Lynn,98,24000000,57262492,318,129,90374,6.7,1.39,33360000,79594863.88
The Yards,2000,James Gray,115,24000000,882710,138,93,16215,6.4,1.39,33360000,1226966.9
Thirteen Days,2000,Roger Donaldson,145,80000000,34566746,315,162,45231,7.3,1.39,111200000,48047776.94
Titan A.E.,2000,Don Bluth,94,75000000,22751979,377,131,52244,6.6,1.39,104250000,31625250.81
Traffic,2000,Steven Soderbergh,190,48000000,124107476,867,223,170684,7.6,1.39,66720000,172509391.6
Unbreakable,2000,M. Night Shyamalan,106,75000000,94999143,1344,294,245152,7.2,1.39,104250000,132048808.8
Urban Legends: Final Cut,2000,John Ottman,97,14000000,21468807,227,108,13048,4.1,1.39,19460000,29841641.73
Urbania,2000,Jon Shear,106,225000,1027119,73,38,2742,7,1.39,312750,1427695.41
Vertical Limit,2000,Martin Campbell,124,75000000,68473360,379,134,49536,5.9,1.39,104250000,95177970.4
What Lies Beneath,2000,Robert Zemeckis,130,100000000,155370362,683,185,98403,6.6,1.39,139000000,215964803.2
What Planet Are You From?,2000,Mike Nichols,87,50000000,6291602,91,82,8070,5.6,1.39,69500000,8745326.78
What Women Want,2000,Nancy Meyers,127,70000000,182805123,395,149,158864,6.4,1.39,97300000,254099121
Whatever It Takes,2000,David Raynr,94,15000000,8735529,89,50,8055,5.5,1.39,20850000,12142385.31
Where the Heart Is,2000,Matt Williams,120,15000000,33771174,240,78,27044,6.8,1.39,20850000,46941931.86
Whipped,2000,Peter M. Cohen,82,3000000,4142507,81,48,3665,4.4,1.39,4170000,5758084.73
Woman on Top,2000,Fina Torres,92,8000000,5018450,86,72,8546,5.3,1.39,11120000,6975645.5
Wonder Boys,2000,Curtis Hanson,107,55000000,19389454,335,173,54643,7.4,1.39,76450000,26951341.06
X-Men,2000,Bryan Singer,104,75000000,157299717,1401,290,452928,7.4,1.39,104250000,218646606.6
You Can Count on Me,2000,Kenneth Lonergan,111,1200000,9180275,231,122,22145,7.7,1.39,1668000,12760582.25
15 Minutes,2001,John Herzfeld,120,42000000,24375436,265,151,42547,6.1,1.36,57120000,33150592.96
3000 Miles to Graceland,2001,Demian Lichtenstein,125,42000000,15738632,399,113,38076,5.9,1.36,57120000,21404539.52
A Beautiful Mind,2001,Ron Howard,135,58000000,170708996,1171,205,610568,8.2,1.36,78880000,232164234.6
A Knight's Tale,2001,Brian Helgeland,144,65000000,56083966,658,167,137003,6.9,1.36,88400000,76274193.76
A.I. Artificial Intelligence,2001,Steven Spielberg,146,100000000,78616689,2153,281,238747,7.1,1.36,136000000,106918697
Ali,2001,Michael Mann,165,107000000,58183966,386,174,79186,6.8,1.36,145520000,79130193.76
Along Came a Spider,2001,Lee Tamahori,104,60000000,74058698,317,133,59232,6.3,1.36,81600000,100719829.3
America's Sweethearts,2001,Joe Roth,102,48000000,93607673,343,142,47573,5.7,1.36,65280000,127306435.3
American Desi,2001,Piyush Dinker Pandya,100,250000,902835,40,9,1489,6.7,1.36,340000,1227855.6
American Outlaws,2001,Les Mayfield,94,35000000,13264986,162,44,12077,6,1.36,47600000,18040380.96
American Pie 2,2001,J.B. Rogers,108,30000000,145096820,431,142,200260,6.4,1.36,40800000,197331675.2
Angel Eyes,2001,Luis Mandoki,102,38000000,24044532,180,106,19686,5.6,1.36,51680000,32700563.52
Antitrust,2001,Peter Howitt,109,30000000,10965209,221,123,25558,6.1,1.36,40800000,14912684.24
Atlantis: The Lost Empire,2001,Gary Trousdale,95,120000000,84037039,289,146,72591,6.8,1.36,163200000,114290373
Baby Boy,2001,John Singleton,130,16000000,28734552,81,41,9566,6.4,1.36,21760000,39078990.72
Bandits,2001,Barry Levinson,123,80000000,41523271,261,132,57038,6.6,1.36,108800000,56471648.56
Behind Enemy Lines,2001,John Moore,106,40000000,59068786,411,131,86902,6.4,1.36,54400000,80333548.96
Black Hawk Down,2001,Ridley Scott,152,92000000,108638745,1103,200,292022,7.7,1.36,125120000,147748693.2
Black Knight,2001,Gil Junger,95,50000000,33422806,164,46,30771,4.8,1.36,68000000,45455016.16
Blow,2001,Ted Demme,124,30000000,52937130,426,147,198066,7.6,1.36,40800000,71994496.8
Brigham City,2001,Richard Dutcher,119,1000000,798341,63,12,983,7.2,1.36,1360000,1085743.76
Bubble Boy,2001,Blair Hayes,84,13000000,5002310,181,47,25541,5.6,1.36,17680000,6803141.6
Cats & Dogs,2001,Lawrence Guterman,87,60000000,93375151,235,105,46031,5.2,1.36,81600000,126990205.4
Corky Romano,2001,Rob Pritts,86,11000000,23978402,100,62,10966,4.6,1.36,14960000,32610626.72
Crazy/Beautiful,2001,John Stockwell,135,14000000,16929123,169,84,21406,6.5,1.36,19040000,23023607.28
Dogtown and Z-Boys,2001,Stacy Peralta,91,400000,1293295,88,86,10366,7.7,1.36,544000,1758881.2
Domestic Disturbance,2001,Harold Becker,89,53000000,45207112,190,98,21283,5.5,1.36,72080000,61481672.32
Don't Say a Word,2001,Gary Fleder,113,50000000,54997476,248,113,40362,6.3,1.36,68000000,74796567.36
Donnie Darko,2001,Richard Kelly,133,4500000,727883,2110,283,580999,8.1,1.36,6120000,989920.88
Double Take,2001,George Gallo,88,24000000,20218,50,45,5431,5.3,1.36,32640000,27496.48
Down and Out with the Dolls,2001,Kurt Voss,88,1200000,58936,4,12,91,6.1,1.36,1632000,80152.96
Down to Earth,2001,Chris Weitz,87,30000000,64172251,122,61,19079,5.4,1.36,40800000,87274261.36
Dr. Dolittle 2,2001,Steve Carr,87,72000000,112950721,79,91,33884,4.6,1.36,97920000,153612980.6
Driven,2001,Renny Harlin,116,72000000,32616869,346,109,34435,4.5,1.36,97920000,44358941.84
Enemy at the Gates,2001,Jean-Jacques Annaud,131,68000000,51396781,662,187,188887,7.6,1.36,92480000,69899622.16
Exit Wounds,2001,Andrzej Bartkowiak,101,33000000,51758599,232,107,27580,5.5,1.36,44880000,70391694.64
Final Fantasy: The Spirits Within,2001,Hironobu Sakaguchi,106,137000000,32131830,788,166,72259,6.4,1.36,186320000,43699288.8
Frailty,2001,Bill Paxton,100,11000000,13103828,463,161,59982,7.3,1.36,14960000,17821206.08
Freddy Got Fingered,2001,Tom Green,87,15000000,14249005,619,97,39788,4.5,1.36,20400000,19378646.8
From Hell,2001,Albert Hughes,122,35000000,31598308,541,208,124765,6.8,1.36,47600000,42973698.88
Get Over It,2001,Tommy O'Haver,87,22000000,11560259,180,63,15617,5.8,1.36,29920000,15721952.24
Ghost World,2001,Terry Zwigoff,111,7000000,6200756,488,122,96129,7.4,1.36,9520000,8433028.16
Ghosts of Mars,2001,John Carpenter,98,28000000,8434601,460,156,43006,4.9,1.36,38080000,11471057.36
Glitter,2001,Vondie Curtis-Hall,104,22000000,4273372,308,66,19412,2.1,1.36,29920000,5811785.92
Hardball,2001,Brian Robbins,106,21000000,40219708,131,85,22649,6.3,1.36,28560000,54698802.88
Harvard Man,2001,James Toback,99,5500000,56007,69,27,3754,4.9,1.36,7480000,76169.52
Head Over Heels,2001,Mark Waters,86,14000000,10397365,104,61,11693,5.4,1.36,19040000,14140416.4
Heartbreakers,2001,David Mirkin,123,35000000,40334024,216,116,44168,6.2,1.36,47600000,54854272.64
Hearts in Atlantis,2001,Scott Hicks,101,31000000,24185781,268,135,30339,6.9,1.36,42160000,32892662.16
Hedwig and the Angry Inch,2001,John Cameron Mitchell,95,6000000,3029081,231,108,26300,7.8,1.36,8160000,4119550.16
How High,2001,Jesse Dylan,93,12000000,31155435,102,34,42644,6.2,1.36,16320000,42371391.6
I Am Sam,2001,Jessie Nelson,132,22000000,40270895,431,129,121937,7.6,1.36,29920000,54768417.2
Impostor,2001,Gary Fleder,102,40000000,6114237,207,83,19986,6.2,1.36,54400000,8315362.32
In the Bedroom,2001,Todd Field,138,1700000,35918429,510,179,32415,7.5,1.36,2312000,48849063.44
Jason X,2001,James Isaac,85,11000000,12610731,673,205,38985,4.4,1.36,14960000,17150594.16
Jay and Silent Bob Strike Back,2001,Kevin Smith,104,22000000,30059386,867,181,128593,6.9,1.36,29920000,40880764.96
Jimmy Neutron: Boy Genius,2001,John A. Davis,82,30000000,80920948,118,66,23943,6,1.36,40800000,110052489.3
Joe Dirt,2001,Dennie Gordon,91,17700000,27087695,205,78,41664,5.9,1.36,24072000,36839265.2
Joe Somebody,2001,John Pasquin,98,38000000,22770864,85,55,8433,5.5,1.36,51680000,30968375.04
Joy Ride,2001,John Dahl,97,23000000,21973182,339,140,53415,6.6,1.36,31280000,29883527.52
Jurassic Park III,2001,Joe Johnston,92,93000000,181166115,1236,198,219501,5.9,1.36,126480000,246385916.4
K-PAX,2001,Iain Softley,120,48000000,50173190,537,140,148490,7.4,1.36,65280000,68235538.4
Kate & Leopold,2001,James Mangold,123,48000000,47095453,316,125,64595,6.4,1.36,65280000,64049816.08
Kissing Jessica Stein,2001,Charles Herman-Wurmfeld,97,1000000,7022940,190,110,14018,6.7,1.36,1360000,9551198.4
Knockaround Guys,2001,Brian Koppelman,92,15000000,11632420,135,57,19768,6.1,1.36,20400000,15820091.2
L.I.E.,2001,Michael Cuesta,97,700000,1141829,109,64,8509,7.2,1.36,952000,1552887.44
Lara Croft: Tomb Raider,2001,Simon West,100,115000000,131144183,824,199,157016,5.7,1.36,156400000,178356088.9
Legally Blonde,2001,Robert Luketic,96,18000000,95001351,548,163,131801,6.2,1.36,24480000,129201837.4
Life as a House,2001,Irwin Winkler,125,18000000,15561627,359,99,39105,7.5,1.36,24480000,21163812.72
Lovely & Amazing,2001,Nicole Holofcener,91,250000,4186931,85,71,6041,6.9,1.36,340000,5694226.16
Made,2001,Jon Favreau,95,5000000,5308707,165,81,15053,6.4,1.36,6800000,7219841.52
Max Keeble's Big Move,2001,Tim Hill,91,12000000,17292381,69,37,5794,5.3,1.36,16320000,23517638.16
Megiddo: The Omega Code 2,2001,Brian Trenchard-Smith,104,22000000,5974653,111,18,2253,4.1,1.36,29920000,8125528.08
Monkeybone,2001,Henry Selick,93,75000000,5409517,171,74,14280,4.7,1.36,102000000,7356943.12
Monster's Ball,2001,Marc Forster,112,4000000,31252964,522,153,71495,7.1,1.36,5440000,42504031.04
"Monsters, Inc.",2001,Pete Docter,92,115000000,289907418,593,250,585659,8.1,1.36,156400000,394274088.5
Moulin Rouge!,2001,Baz Luhrmann,127,52500000,57386369,2319,209,224013,7.6,1.36,71400000,78045461.84
Never Again,2001,Eric Schaeffer,98,500000,295468,34,25,709,6,1.36,680000,401836.48
Not Another Teen Movie,2001,Joel Gallen,99,16000000,37882551,393,97,80305,5.7,1.36,21760000,51520269.36
Novocaine,2001,David Atkins,95,6000000,2025238,105,84,9589,5.8,1.36,8160000,2754323.68
O,2001,Tim Blake Nelson,95,5000000,16017403,153,92,17333,6.2,1.36,6800000,21783668.08
Ocean's Eleven,2001,Steven Soderbergh,116,85000000,183405771,845,186,402645,7.8,1.36,115600000,249431848.6
On the Line,2001,Eric Bross,85,16000000,4356743,79,46,3662,4.1,1.36,21760000,5925170.48
Osmosis Jones,2001,Bobby Farrelly,95,70000000,13596911,123,81,25572,6.2,1.36,95200000,18491798.96
Out Cold,2001,Brendan Malloy,89,11000000,13903262,90,37,14656,6.3,1.36,14960000,18908436.32
Pearl Harbor,2001,Michael Bay,184,140000000,198539855,1999,191,254111,6.1,1.36,190400000,270014202.8
Planet of the Apes,2001,Tim Burton,119,100000000,180011740,1368,230,177729,5.7,1.36,136000000,244815966.4
Pootie Tang,2001,Louis C.K.,81,3000000,3293258,131,31,11399,5.2,1.36,4080000,4478830.88
Recess: School's Out,2001,Chuck Sheetz,82,23000000,36696761,38,44,6808,6.5,1.36,31280000,49907594.96
Riding in Cars with Boys,2001,Penny Marshall,132,48000000,29781453,210,89,22447,6.4,1.36,65280000,40502776.08
Rock Star,2001,Stephen Herek,105,57000000,16991902,191,107,34592,6.2,1.36,77520000,23108986.72
Rush Hour 2,2001,Brett Ratner,90,90000000,226138454,394,127,160440,6.6,1.36,122400000,307548297.4
Save the Last Dance,2001,Thomas Carter,112,13000000,91038276,320,101,47876,6.1,1.36,17680000,123812055.4
Saving Silverman,2001,Dennis Dugan,96,22000000,19351569,201,97,33287,5.9,1.36,29920000,26318133.84
Say It Isn't So,2001,J.B. Rogers,95,25000000,5516708,91,87,11375,4.9,1.36,34000000,7502722.88
Scary Movie 2,2001,Keenen Ivory Wayans,83,45000000,71277420,548,127,119590,5.2,1.36,61200000,96937291.2
See Spot Run,2001,John Whitesell,94,35000000,33357476,53,51,7392,5.4,1.36,47600000,45366167.36
Serendipity,2001,Peter Chelsom,82,28000000,49968653,374,122,85423,6.9,1.36,38080000,67957368.08
Session 9,2001,Brad Anderson,100,1500000,373967,481,127,43839,6.5,1.36,2040000,508595.12
Shallow Hal,2001,Bobby Farrelly,114,40000000,70836296,426,109,109445,5.9,1.36,54400000,96337362.56
Shrek,2001,Andrew Adamson,90,60000000,267652016,945,212,467113,7.9,1.36,81600000,364006741.8
Someone Like You...,2001,Tony Goldwyn,97,23000000,27338033,167,92,19709,6.1,1.36,31280000,37179724.88
Soul Survivors,2001,Stephen Carpenter,84,14000000,3100650,181,64,7277,3.9,1.36,19040000,4216884
Spy Kids,2001,Robert Rodriguez,88,35000000,112692062,205,122,84325,5.4,1.36,47600000,153261204.3
Summer Catch,2001,Michael Tollin,108,34000000,19693891,107,50,12993,4.9,1.36,46240000,26783691.76
Super Troopers,2001,Jay Chandrasekhar,100,1200000,18488314,333,100,76151,7.1,1.36,1632000,25144107.04
Sweet November,2001,Pat O'Connor,119,40000000,25178165,274,94,70292,6.7,1.36,54400000,34242304.4
Swordfish,2001,Dominic Sena,99,80000000,69772969,543,166,155532,6.5,1.36,108800000,94891237.84
Texas Rangers,2001,Steve Miner,110,38000000,623374,67,31,4757,5.2,1.36,51680000,847788.64
The Animal,2001,Luke Greenfield,84,22000000,55762229,132,75,47383,4.8,1.36,29920000,75836631.44
The Believer,2001,Henry Bean,98,1500000,406035,159,84,30314,7.2,1.36,2040000,552207.6
The Brothers,2001,Gary Hardwick,106,6000000,27457409,43,52,3198,6.3,1.36,8160000,37342076.24
The Curse of the Jade Scorpion,2001,Woody Allen,103,26000000,7496522,178,116,31798,6.8,1.36,35360000,10195269.92
The Fast and the Furious,2001,Rob Cohen,106,38000000,144512310,988,187,272227,6.7,1.36,51680000,196536741.6
The Forsaken,2001,J.S. Cardone,90,5000000,6755271,131,56,7319,5.3,1.36,6800000,9187168.56
The Glass House,2001,Daniel Sackheim,106,30000000,17951431,200,95,25462,5.8,1.36,40800000,24413946.16
The Jimmy Show,2001,Frank Whaley,96,1500000,703,21,9,480,5.4,1.36,2040000,956.08
The Last Castle,2001,Rod Lurie,131,60000000,18208078,281,110,57100,6.9,1.36,81600000,24762986.08
The Lost Skeleton of Cadavra,2001,Larry Blamire,90,40000,110536,118,88,4117,7,1.36,54400,150328.96
The Majestic,2001,Frank Darabont,152,72000000,27796042,376,128,45031,6.9,1.36,97920000,37802617.12
The Mexican,2001,Gore Verbinski,123,34000000,66808615,344,125,87351,6.1,1.36,46240000,90859716.4
The Mummy Returns,2001,Stephen Sommers,130,98000000,202007640,890,202,248045,6.3,1.36,133280000,274730390.4
The One,2001,James Wong,85,49000000,43905746,294,98,77684,5.9,1.36,66640000,59711814.56
The Other Side of Heaven,2001,Mitch Davis,113,7000000,4720371,85,27,3203,6.5,1.36,9520000,6419704.56
The Others,2001,Alejandro Amenábar,101,17000000,96471845,1109,239,268581,7.6,1.36,23120000,131201709.2
The Pledge,2001,Sean Penn,124,45000000,19719930,531,150,42621,6.8,1.36,61200000,26819104.8
The Princess Diaries,2001,Garry Marshall,111,37000000,108244774,301,108,94049,6.2,1.36,50320000,147212892.6
The Royal Tenenbaums,2001,Wes Anderson,110,21000000,52353636,962,220,209133,7.6,1.36,28560000,71200944.96
The Score,2001,Frank Oz,124,68000000,71069884,445,141,101899,6.8,1.36,92480000,96655042.24
The Shipping News,2001,Lasse Hallström,111,35000000,11405825,208,119,28542,6.8,1.36,47600000,15511922
The Tailor of Panama,2001,John Boorman,109,18000000,13491653,213,104,23728,6.1,1.36,24480000,18348648.08
