gender,age,PosAffect,NegAffect,TSWLS,SWB,PWB,Locomotion,Assessment,ArcherGarciaRatio,AcademAchieve
2,18,3.4,1.6,2.133333333,-0.371548481,3.722222222,3.083333333,4.583333333,15,18.125
2,18,3.2,2.8,1.8,-2.620005614,3.055555556,3,4.416666667,11,13.75
2,18,3.7,1.9,4.866666667,1.736010163,4.277777778,4.916666667,4.083333333,11,17.5
2,18,4,1.7,4.6,2.260955484,4.388888889,3.666666667,3.666666667,12,17.5
2,18,3.9,2.6,6,1.908208991,5,4.833333333,4.916666667,12,18.125
2,18,2.7,1.2,3.266666667,0.019247572,3.555555556,3.5,3.416666667,10,17.5
2,18,3.4,1.7,3.533333333,0.55555448,4.277777778,3.75,4.166666667,13,17.5
2,18,3.6,3.1,3.2,-1.381531808,3.722222222,3.916666667,3.833333333,12,15
2,18,3.4,2.1,6.2,2.025171904,4.722222222,3.25,3.416666667,2,15.625
2,18,2.5,1.5,4.666666667,0.366427437,4.5,3.583333333,3.75,11,15
2,18,3.4,2.4,4.6,0.379773636,3.833333333,3.833333333,4.166666667,15,16.875
2,18,3.1,2,3.333333333,-0.466975239,4.055555556,3.166666667,4,11,14.375
1,17,4.4,3.6,4.266666667,-0.086095613,4.277777778,4.583333333,4.5,13,16.25
1,17,4.7,1.8,6.8,4.838481674,5.055555556,4.583333333,4.083333333,12,11.25
1,17,3.6,1.7,6.466666667,3.091446882,4.777777778,4.666666667,3.166666667,12,16.25
2,17,3.1,2.8,3.6,-1.394748937,4.444444444,4.5,3.75,10,12.5
2,17,4.1,1.1,4,2.8000446,4.5,3.833333333,3.833333333,10,16.875
2,17,3.7,2.5,4.8,0.836653124,4.666666667,4,3.916666667,11,13.75
2,17,3.9,1.4,4.866666667,2.740170933,4.277777778,4.333333333,3.333333333,13,18.75
2,17,3,2,3.066666667,-0.819050995,3.833333333,3.833333333,3.833333333,13,14.375
2,17,3.1,2.1,3,-0.862796254,3.833333333,3.083333333,3.083333333,8,15
2,17,3.1,2.5,2.266666667,-1.988145091,4.333333333,3.833333333,3.666666667,8,14.375
2,17,3.4,2.8,3,-1.407037189,3.777777778,5,3.583333333,9,15.625
2,17,2.8,1.4,4.8,1.055250348,4.611111111,2.833333333,4.083333333,9,16.25
2,17,5,1.6,4.466666667,3.786094563,5.333333333,4.666666667,3.75,11,13.125
2,17,1.6,2.2,2.2,-3.843023964,2.888888889,3.166666667,4,10,14.375
2,17,2.2,3.4,1.666666667,-5.055734248,3.611111111,4.083333333,4.083333333,10,13.125
1,18,3.9,1.2,5.8,3.735339729,5.111111111,4.666666667,4.416666667,10,16.875
1,18,4,2.3,3.4,0.496609691,4.166666667,4.916666667,4.083333333,12,18.125
1,17,3.4,2.1,4.6,0.80401131,3.833333333,4.083333333,2.916666667,13,17.5
2,17,4.1,1.4,5,3.139032297,5.388888889,4.5,3.166666667,13,17.5
1,18,3,1.1,4.933333333,1.878349386,4.722222222,3.833333333,2.25,11,18.125
1,18,2.7,3.7,3.666666667,-3.210776229,4.055555556,3.916666667,4.333333333,12,18.125
1,18,3.3,1.8,4.133333333,0.723528154,4.277777778,4.583333333,3.916666667,13,16.875
2,18,3.6,1.4,6.333333333,3.413921173,5.055555556,4,3.333333333,11,16.25
1,17,2.4,2.4,4.466666667,-1.20747965,4.222222222,4.25,4.666666667,11,17.5
2,17,3.1,2.5,2.533333333,-1.784618325,4.166666667,3.333333333,4,7,16.875
1,18,3,2.1,5.333333333,0.769513954,3.944444444,3.5,3.333333333,8,13.75
1,18,2.6,2.7,3,-2.454016553,3.333333333,3.833333333,3.833333333,6,14.375
1,18,4.3,1.6,5.6,3.611240384,5.277777778,4,3.416666667,14,16.875
2,18,3.3,3.1,1.8,-2.895694298,3.611111111,3.25,5.083333333,11,17.5
2,18,4.1,2.2,3.2,0.633926166,4.111111111,4.666666667,2.666666667,11,16.25
1,17,3.5,2,3.133333333,-0.025424352,3.888888889,3.916666667,4,12,13.75
1,18,3.9,2.1,4.333333333,1.343229496,4.888888889,4.333333333,2.75,12,14.375
1,18,3.1,1.6,3.666666667,0.35308345,4.666666667,3.666666667,2.416666667,14,18.125
2,18,4.9,2.1,4.533333333,2.981364474,5.333333333,5.25,5,8,10.625
2,18,2.6,2.3,1.533333333,-3.007763532,4.555555556,3.833333333,3.916666667,10,13.75
2,17,3.9,1.7,4.2,1.807116346,5,3.833333333,3.083333333,12,14.375
2,18,3,3.6,2.866666667,-3.234296997,3.444444444,3.166666667,3.25,14,10.625
2,18,4,3.1,2.2,-1.550561217,4.944444444,5.25,4.583333333,14,12.5
2,18,1,2.6,1,-6.215838582,2.722222222,1,4.25,13,11.25
1,17,3.2,2.7,2.2,-2.173302908,4.555555556,3.666666667,3.166666667,8,13.125
2,17,4.3,2.8,5.466666667,1.812526305,5.055555556,4.916666667,4,13,11.875
2,17,3.2,1.5,1.733333333,-0.832524052,3.611111111,4.416666667,2.333333333,15,10
2,17,2.9,3.2,2.266666667,-3.275130978,3.166666667,3,3.916666667,9,11.25
