Gender,Age,WPS,Math1,Math2,SelfImage,SelfReg,Strategies,Motivation,LMA,MEA,Raven,Verbal
0,9.75,8,90,82,3.2857,3.1429,3.1667,2.25,1.6667,1.7778,45,45
0,10.31,5,85,80,3.7143,3,4.0833,5,1.25,1.1111,46,45
1,10,3,86,71,3.8571,4.1429,4.75,4.5,1.5,1.7778,44,36
1,10,6,85,84,3.2857,4,3.75,3.25,1.5833,2.3333,49,43
1,10,6,76,77,3.7143,3.5714,3.75,4,1.25,1.5556,40,41
1,9.38,4,83,87,3.5714,3.1429,3.1667,2.5,1.5833,2.4444,51,44
1,9.89,1,86,88,3,3.2857,3.25,4.25,1.4167,2.1111,48,45
1,10,7,90,90,4,3.2857,4.0833,5,1.25,1.1111,45,45
0,10,4,92,92,3,2.5714,2.0833,1.25,1.75,3.1111,38,44
0,10,6,87,89,5,4.4286,4.5833,4.75,2.5833,2.6667,48,46
1,10,7,89,90,4.8571,4.5714,4.4167,4.75,1.6667,1.6667,36,40
0,10,6,91,81,3.5714,4.2857,4.5,4,1.25,1.8889,53,43
0,10,8,88,92,1.7143,1.8571,1.8333,1.25,1.5,2.6667,43,43
1,9.5,9,93,92,5,5,4.8333,5,1.0833,1.3333,46,46
0,9.5,6,86,87,2.8571,3.8571,3,3,1.25,2.7778,28,39
0,10,2,85,81,4.5714,3.7143,4.3333,5,1.3333,1.6667,44,44
1,9.5,8,92,92,3.2857,4.4286,3.9167,2.5,1.5833,2.1111,36,42
1,9.5,6,87,92,2.7143,3.1429,2.8333,4.25,2.4167,3,44,44
1,9.85,9,91,93,4.8571,4.5714,4.9167,3.75,1.25,1.7778,43,46
0,9.5,7,91,91,3.1429,2.8571,3.5833,3,1.4167,1.8889,47,46
0,10.15,7,91,91,3.1429,2.8571,3.5833,3,1.4167,1.8889,47,46
0,9.75,5,70,78,4.8571,5,5,3.75,1.25,1.2222,32,42
1,9.73,7,92,90,4.2857,4.7143,4.25,5,1.5833,1.5556,31,45
1,9.5,8,88,92,3.1429,3.5714,3.3333,3,2.1667,2.1111,38,45
1,9.5,10,89,92,2.8571,3.1429,2.9167,3.25,2,2.4444,38,43
