group,IDNR,sex,grade,age,a1.1,a1.2,a1.3,a1.4,a1.5,a1.6,a1.7,a1.8,a1.9,a1.10,a1.11,a1.12,a1.13,a1.14,a1.15,a1.16
1,816,2,4,12,-9,-9,-9,1,-9,1,-9,0,-9,-9,-9,0,-9,-9,-9,-9
1,381,1,6,15,-9,1,1,1,-9,0,1,1,-9,1,-9,-9,-9,-9,-9,-9
1,522,2,5,13,-9,-9,1,1,1,1,1,-9,1,-9,-9,-9,-9,-9,-9,-9
1,279,2,6,14,1,1,1,1,-9,1,1,0,1,0,1,1,-9,0,-9,-9
1,265,2,6,14,1,1,1,1,0,1,1,1,1,0,0,0,-9,0,0,-9
1,376,1,6,15,1,0,1,1,0,1,1,0,1,-9,-9,-9,-9,-9,-9,0
1,59,2,6,13,1,1,1,1,1,1,1,1,1,0,1,-9,-9,0,-9,-9
1,274,2,6,14,1,1,1,1,1,1,1,1,1,0,0,-9,-9,0,0,-9
1,527,1,5,13,1,-9,1,1,-9,1,1,1,1,0,-9,-9,-9,-9,-9,-9
1,399,1,6,16,1,1,1,1,1,1,0,1,1,0,-9,-9,-9,-9,-9,-9
1,409,1,5,12,1,0,1,1,0,0,-9,0,1,-9,-9,0,-9,-9,-9,0
1,427,1,5,14,0,1,1,1,1,-9,-9,1,1,-9,-9,-9,-9,-9,-9,-9
1,100,1,6,13,1,-9,1,1,1,1,0,0,1,-9,0,0,-9,0,-9,0
1,567,2,5,14,0,-9,1,1,-9,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,303,2,6,15,1,1,1,1,1,1,0,1,1,0,1,1,-9,-9,-9,-9
1,462,2,5,12,1,1,1,1,-9,1,1,0,1,0,-9,0,-9,-9,-9,-9
1,254,2,6,14,1,0,1,1,1,1,1,0,1,1,0,-9,-9,-9,-9,-9
1,373,1,6,15,1,0,1,1,-9,0,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,282,1,6,14,1,1,1,1,1,0,0,0,1,-9,1,0,-9,-9,-9,-9
1,216,2,6,14,1,1,1,1,1,1,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,586,2,5,14,1,1,1,1,-9,-9,-9,-9,1,-9,-9,-9,-9,-9,-9,-9
1,837,1,4,13,1,0,1,1,-9,1,1,0,1,-9,-9,0,-9,0,-9,0
1,847,2,4,13,1,-9,1,1,1,0,1,0,1,-9,-9,-9,-9,-9,-9,-9
1,186,2,6,14,1,1,1,1,1,1,1,0,1,1,1,1,0,1,-9,0
1,324,2,6,15,1,-9,1,1,1,1,1,1,1,1,0,-9,-9,-9,-9,-9
1,862,2,4,13,1,0,1,1,1,0,0,0,1,-9,-9,0,-9,-9,-9,-9
1,556,2,5,13,1,1,1,1,1,0,1,1,1,-9,-9,0,-9,-9,-9,-9
1,769,2,4,12,1,0,1,1,0,1,-9,1,1,-9,-9,0,-9,-9,-9,-9
1,826,2,4,13,0,1,0,1,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9
1,557,1,5,13,1,0,1,1,1,1,1,0,1,-9,-9,0,-9,-9,-9,-9
1,125,2,6,13,1,1,1,1,-9,1,1,0,0,-9,-9,-9,-9,-9,-9,-9
1,807,1,4,12,1,-9,1,1,0,1,0,0,0,-9,-9,-9,-9,-9,-9,-9
1,624,2,5,16,1,-9,1,1,1,1,1,0,0,-9,0,0,0,-9,-9,-9
1,592,1,5,14,1,-9,1,1,-9,1,0,-9,0,0,-9,-9,-9,-9,-9,-9
1,690,2,4,11,1,0,1,1,1,1,1,0,0,-9,-9,-9,-9,-9,-9,-9
1,505,1,5,13,1,-9,1,1,-9,1,1,0,-9,0,-9,0,-9,0,-9,-9
1,646,2,4,11,1,0,1,1,1,1,1,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,815,2,4,12,1,1,1,1,-9,0,-9,0,-9,-9,-9,-9,-9,-9,-9,-9
1,852,2,4,13,0,0,1,1,-9,-9,-9,1,-9,-9,-9,0,-9,0,-9,-9
1,706,2,4,11,1,1,1,1,-9,-9,1,1,-9,-9,-9,-9,-9,-9,-9,-9
1,818,2,4,13,1,-9,1,1,1,1,1,0,-9,1,-9,0,-9,-9,-9,-9
1,612,2,5,15,0,0,0,1,0,0,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,864,2,4,13,1,-9,0,1,-9,1,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
1,334,3,6,15,1,1,1,1,-9,1,1,0,1,0,0,0,1,0,-9,-9
1,176,1,6,14,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,1
1,58,2,6,13,1,1,1,1,1,1,1,1,1,1,1,-9,-9,-9,-9,-9
1,252,1,6,14,1,0,1,0,1,1,-9,0,1,0,0,0,0,0,0,0
