Subject,Change,Ndist,Correct,Reaction,MMI
1,0,6,1,511,1.777777778
1,1,2,1,520,1.777777778
1,1,4,1,1807,1.777777778
1,0,0,1,727,1.777777778
1,1,0,1,839,1.777777778
1,1,2,1,712,1.777777778
1,1,4,0,642,1.777777778
1,0,4,1,681,1.777777778
1,1,2,1,600,1.777777778
1,1,0,1,685,1.777777778
1,0,2,1,535,1.777777778
1,1,0,1,608,1.777777778
1,1,6,1,564,1.777777778
1,0,4,1,567,1.777777778
1,0,0,0,813,1.777777778
1,1,6,1,543,1.777777778
1,1,4,1,672,1.777777778
1,0,6,1,679,1.777777778
1,0,0,1,543,1.777777778
1,0,6,1,624,1.777777778
1,0,2,1,647,1.777777778
1,0,4,1,761,1.777777778
1,0,0,1,414,1.777777778
1,1,6,1,591,1.777777778
1,1,2,0,927,1.777777778
1,0,2,1,759,1.777777778
1,1,0,1,551,1.777777778
1,1,4,1,718,1.777777778
1,0,6,1,535,1.777777778
2,1,2,1,528,1.888888889
2,0,4,1,703,1.888888889
2,1,2,1,503,1.888888889
2,0,2,1,503,1.888888889
2,0,0,1,558,1.888888889
2,0,6,1,560,1.888888889
2,1,0,1,607,1.888888889
2,0,2,1,535,1.888888889
2,0,0,1,510,1.888888889
2,1,4,1,543,1.888888889
2,1,6,1,792,1.888888889
2,0,6,1,871,1.888888889
2,1,0,1,551,1.888888889
2,0,4,1,446,1.888888889
2,1,4,1,504,1.888888889
2,1,6,1,1031,1.888888889
2,0,6,1,552,1.888888889
2,1,6,0,448,1.888888889
2,1,6,1,679,1.888888889
2,1,0,1,591,1.888888889
2,1,2,1,463,1.888888889
2,1,0,1,504,1.888888889
2,0,2,1,439,1.888888889
2,0,6,0,647,1.888888889
2,0,0,1,447,1.888888889
2,1,4,1,406,1.888888889
2,1,2,1,846,1.888888889
2,0,4,1,663,1.888888889
2,1,4,1,551,1.888888889
2,0,4,1,488,1.888888889
2,0,0,1,440,1.888888889
2,0,2,1,615,1.888888889
2,1,0,1,464,1.888888889
2,1,2,1,518,1.888888889
2,1,4,1,495,1.888888889
2,0,6,1,486,1.888888889
2,1,4,1,560,1.888888889
2,0,4,1,471,1.888888889
2,0,6,1,373,1.888888889
2,1,6,1,564,1.888888889
2,0,2,1,567,1.888888889
2,0,4,1,407,1.888888889
2,0,0,1,370,1.888888889
2,0,2,1,431,1.888888889
2,1,2,1,408,1.888888889
2,1,6,0,360,1.888888889
2,1,0,1,431,1.888888889
2,0,0,1,380,1.888888889
2,0,0,1,471,1.888888889
2,1,0,1,407,1.888888889
2,1,6,0,398,1.888888889
2,1,4,1,481,1.888888889
2,0,4,1,591,1.888888889
2,0,0,1,368,1.888888889
2,0,2,1,399,1.888888889
2,1,2,1,575,1.888888889
2,1,2,0,550,1.888888889
2,0,4,1,391,1.888888889
2,1,6,1,375,1.888888889
2,1,4,1,639,1.888888889
2,0,6,1,687,1.888888889
2,0,2,1,612,1.888888889
2,0,6,1,462,1.888888889
2,1,0,1,351,1.888888889
2,0,0,1,462,1.888888889
2,0,4,1,568,1.888888889
2,1,2,1,444,1.888888889
2,1,4,1,438,1.888888889
2,0,6,1,455,1.888888889
2,0,0,1,470,1.888888889
2,1,6,1,350,1.888888889
2,1,0,1,527,1.888888889
2,0,6,1,423,1.888888889
2,1,2,1,358,1.888888889
2,1,4,0,407,1.888888889
2,0,2,0,406,1.888888889
2,0,4,1,383,1.888888889
2,1,0,1,390,1.888888889
2,1,6,1,350,1.888888889
2,0,2,1,391,1.888888889
2,0,2,1,434,1.888888889
2,1,4,0,399,1.888888889
2,1,2,1,439,1.888888889
2,1,6,1,503,1.888888889
2,0,2,1,457,1.888888889
2,0,0,1,575,1.888888889
2,1,4,1,607,1.888888889
2,1,0,1,503,1.888888889
2,1,0,1,463,1.888888889
2,0,6,1,479,1.888888889
2,1,2,1,415,1.888888889
2,0,0,1,423,1.888888889
2,0,4,1,400,1.888888889
2,0,6,1,367,1.888888889
2,0,4,1,384,1.888888889
2,1,6,1,511,1.888888889
2,1,0,1,337,1.888888889
2,0,2,1,368,1.888888889
2,1,2,1,416,1.888888889
2,0,6,1,463,1.888888889
2,1,6,1,463,1.888888889
2,0,0,1,336,1.888888889
2,1,6,0,429,1.888888889
2,0,4,1,545,1.888888889
2,0,2,1,502,1.888888889
2,0,6,1,342,1.888888889
2,0,4,1,367,1.888888889
2,1,4,1,527,1.888888889
2,1,4,1,496,1.888888889
2,0,0,1,318,1.888888889
2,1,0,1,391,1.888888889
2,1,2,1,584,1.888888889
2,0,6,1,409,1.888888889
2,1,0,1,439,1.888888889
2,0,4,1,375,1.888888889
2,1,4,1,441,1.888888889
